
1996/11/2 1
1996/12/24 4
1997/12/12 4
1998/11/4 2
1998/10/11 2
1996/3/23 4
1997/6/7 4
1999/2/3 1
1999/2/23 2
1998/11/09 1
1999/6/6 1
1999/1/10 1
2000/11/7 0
2000/11/7 0
2000/7/1 4
2000/8/15 2
2000/10/16 1
2000/12/12 4
2000/5/11 1
2000/6/3 1
2000/9/10 2
2001/3/13 2
2001/8/9 1
2002/1/1 2
2002/6/7 3
2003/1/1 2
2003/9/11 2
2003/2/4 2
2007/10/12 3
2007/12/30 1
2007/2/12 4
2008/1/1 4
2008/1/12 2
2009/12/1 2
2011/1/1 3
2012/11/3 4
2008/11/21 2
2013/1/1 3
2013/10/2 3
2014/5/30 1
2014/3/22 2
2013/1/12 1
2015/10/16 4
2016/1/1 2
2017/1/1 2
2018/6/1 2
2019/4/14 2
2019/4/15 2
2024/1/1 2
2024/5/5 1
2025/5/3 4
2026/8/18 2
2026/3/4 4
2027/1/1 4
2027/1/1 2
2027/1/1 4
2030/1/1 2
2031/7/5 2
2033/7/1 2
2034/10/17 2
2034/3/2 4
2034/7/3 2
2034/8/6 2
2034/9/3 2
2035/1/23 2
2035/10/2 2
2035/5/11 2
2035/6/7 2
2036/1/4 2
2036/5/2 2
2036/6/8 2
2036/7/4 2
2036/8/12 2
2036/8/13 2
2036/9/20 2
2039/1/1 3
2040/1/1 4
2044/1/1 3
2040/1/1 1
2044/1/1 2
2046/1/1 2
2047/1/1 4
2055/1/1 2
2056/1/1 2
2056/4/16 1
2057/1/3 2
2058/1/1 2
2059/1/1 2
2060/3/6 2
2060/7/3 1
2061/1/1 0
2067/1/1 3
2073/1/1 2
2078/1/1 2
2088/1/1 4
2090/1/1 4
2092/1/1 4
2097/1/1 3
2100/1/1 3
2100/6/1 2
2101/1/1 3
2110/3/1 3
2115/1/1 3
2121/1/1 1
2121/1/1 2
2123/1/1 2
2124/4/12 1
2125/1/1 2
2125/1/1 2
2125/1/1 2
2130/1/1 2
2131/1/1 1
2133/1/1 3
2134/1/1 3
2135/1/1 0
2136/1/1 2
2138/1/1 4
2138/3/1 4
2138/5/1 2
2138/7/1 2
2138/9/1 2
2139/1/1 4
2139/2/4 4
2139/4/1 2
2139/6/1 2
2139/7/1 3
2140/1/1 0
2140/8/1 3
2141/1/1 4
2143/1/1 2
2155/1/1 4
2177/1/1 2
2179/1/1 4
2199/1/1 4
2208/1/1 4
2210/1/1 2
2215/1/1 4
2216/1/1 2
2220/1/1 2
2222/1/1 0
2222/8/1 0
2222/9/1 2
2225/1/1 4
2226/1/1 3
2227/1/1 3
2227/7/1 3
2228/1/1 3
2228/9/1 2
2229/2/1 2
2230/1/1 3
2233/1/1 3
2233/4/1 2
2235/1/1 0
2235/9/1 0
2236/1/1 2
2237/1/1 2
2240/1/1 4
2240/1/1 2
2240/2/1 2
2243/1/1 4
2243/1/1 2
2245/1/1 4
2245/3/1 3
2246/1/1 3
2247/1/1 3
2248/1/1 2
2248/1/1 3
2249/1/1 2
2250/1/1 2
2250/1/1 4
2250/9/1 2
2251/1/1 2
2252/1/1 2
2253/1/1 4
2253/2/1 3
2253/8/1 2
2254/1/1 0
2255/1/1 0
